parliament,member,birthPlace,coordinates,start,end,party
52,David Amess,Plaistow,(0.0245 51.5243),1997,2001,Conservative Party
52,James Arbuthnot,Deal,(1.4006 51.2226),1997,2001,Conservative Party
52,George Young,Oxford,(-1.257777777 51.751944444),1997,2001,Conservative Party
52,Tim Yeo,Lewisham,(-0.005369444 51.461455555),1997,2001,Conservative Party
52,Tony Baldry,Uxbridge,(-0.4778 51.5404),1997,2001,Conservative Party
53,Gregory Barker,Worthing,(-0.371386111 50.814711111),2001,2005,Conservative Party
52,Shaun Woodward,Bristol,(-2.5975 51.453611111),1999,2001,Conservative Party
53,Henry Bellingham,Cheltenham,(-2.078427777 51.896519444),2001,2005,Conservative Party
52,John Bercow,Edgware,(-0.2729 51.6185),1997,2001,Conservative Party
52,Paul Beresford,Levin,(175.283333333 -40.625),1997,2001,Conservative Party
52,Robert Walter,Swansea,(-3.95 51.616666666),1997,2001,Conservative Party
53,Angela Watkinson,Leytonstone,(0.01 51.569),2001,2005,Conservative Party
52,Crispin Blunt,Germany,(10.0 51.0),1997,2001,Conservative Party
52,Peter Bottomley,Newport,(-2.3787 52.7691),1997,2001,Conservative Party
52,Edward Heath,Broadstairs,(1.439438888 51.358880555),1997,2001,Conservative Party
53,Boris Johnson,New York City,(-74.006111111 40.712777777),2001,2005,Conservative Party
52,David Trimble,Belfast,(-5.93 54.596388888),1997,2001,Conservative Party
52,Owen Paterson,Whitchurch,(-2.6827 52.969),1997,2001,Conservative Party
52,Malcolm Bruce,Birkenhead,(-3.016666666 53.383333333),1997,2001,Liberal Democrats
53,Roger Williams,Crickhowell,(-3.1372 51.8597),2001,2005,Liberal Democrats
53,Alistair Carmichael,Islay,(-6.15 55.766666666),2001,2005,Liberal Democrats
52,Paul Burstow,Carshalton,(-0.1676 51.3652),1997,2001,Liberal Democrats
53,John Thurso,Thurso,(-3.521111111 58.596111111),2001,2005,Liberal Democrats
53,Sarah Teather,London Borough of Enfield,(-0.079722222 51.654722222),2003,2005,Liberal Democrats
53,John Pugh,Liverpool,(-2.991666666 53.407222222),2001,2005,Liberal Democrats
52,Norman Baker,Aberdeen,(-2.1 57.15),1997,2001,Liberal Democrats
52,Alan Beith,Poynton,(-2.122222222 53.349166666),1997,2001,Liberal Democrats
52,Steve Webb,Birmingham,(-1.9025 52.48),1997,2001,Liberal Democrats
52,Vince Cable,York,(-1.083333333 53.95),1997,2001,Liberal Democrats
52,Menzies Campbell,Glasgow,(-4.25 55.861111111),1997,2001,Liberal Democrats
52,Tom Brake,Melton Mowbray,(-0.886 52.7661),1997,2001,Liberal Democrats
52,Theresa May,Eastbourne,(0.286111111 50.766388888),1997,2001,Conservative Party
52,Julian Brazier,Dartford,(0.217222222 51.444444444),1997,2001,Conservative Party
52,John Randall,Uxbridge,(-0.4778 51.5404),1997,2001,Conservative Party
52,Graham Brady,Salford,(-2.293055555 53.482777777),1997,2001,Conservative Party
52,John Whittingdale,Sherborne,(-2.5183 50.9491),1997,2001,Conservative Party
52,Malcolm Wicks,Hatfield,(-0.225833333 51.763611111),1997,2001,Labour Party
53,Kevin Brennan,Cwmbran,(-3.021 51.653),2001,2005,Labour Party
52,Oona King,Sheffield,(-1.470277777 53.380833333),1997,2001,Labour Party
52,Bob Ainsworth,Coventry,(-1.516666666 52.416666666),1997,2001,Labour Party
52,Patricia Hewitt,Canberra,(149.126944444 -35.293055555),1997,2001,Labour Party
52,Stephen Byers,Wolverhampton,(-2.125277777 52.584166666),1997,2001,Labour Party
52,"Ann Taylor, Baroness Taylor of Bolton",London,(-0.1275 51.507222222),1997,2001,Labour Party
53,Bill Wiggin,Westminster,(-0.1333 51.4995),2001,2005,Conservative Party
52,David Willetts,Birmingham,(-1.9025 52.48),1997,2001,Conservative Party
