parliament,member,birthPlace,coordinates,start,end,party
58,Nadhim Zahawi,Baghdad,(44.366111111 33.315277777),2019,2024,Conservative Party
58,David Amess,Plaistow,(0.0245 51.5243),2019,2021,Conservative Party
58,Stuart Andrew,Anglesey,(-4.376728 53.293975),2019,2024,Conservative Party
58,Steve Baker,St Austell,(-4.795 50.338),2019,2024,Conservative Party
58,Harriett Baldwin,Watford,(-0.395833333 51.655277777),2019,2024,Conservative Party
58,Jeremy Wright,Taunton,(-3.1 51.019166666),2019,2024,Conservative Party
58,Steve Barclay,Lytham St Annes,(-2.997 53.7426),2019,2024,Conservative Party
58,Gavin Williamson,Scarborough,(-0.4 54.2825),2019,2024,Conservative Party
58,Charles Walker,Oxfordshire,(-1.28 51.75),2019,2024,Conservative Party
58,Robin Walker,West Midlands,(-2.29 52.47),2019,2024,Conservative Party
58,Ben Wallace,Farnborough,(0.0741 51.3591),2019,2024,Conservative Party
58,Paul Beresford,Levin,(175.283333333 -40.625),2019,2024,Conservative Party
58,Jake Berry,Liverpool,(-2.991666666 53.407222222),2019,2024,Conservative Party
58,Bob Blackman,Metropolitan Borough of Kensington,(-0.1951 51.5021),2019,2024,Conservative Party
58,Crispin Blunt,Germany,(10.0 51.0),2019,2023,Conservative Party
58,Heather Wheeler,Norwich,(1.292777777 52.628611111),2019,2024,Conservative Party
58,Peter Bone,Billericay,(0.4184 51.628),2019,2023,Conservative Party
58,Peter Bottomley,Newport,(-2.3787 52.7691),2019,2024,Conservative Party
58,Karen Bradley,Newcastle-under-Lyme,(-2.2278 53.0109),2019,2024,Conservative Party
58,Nigel Adams,Goole,(-0.869172222 53.699216666),2019,2023,Conservative Party
58,Adam Afriyie,Wimbledon,(-0.2171 51.4235),2019,2024,Conservative Party
58,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2019,2023,Conservative Party
58,Peter Aldous,Ipswich,(1.155555555 52.059444444),2019,2024,Conservative Party
58,Boris Johnson,New York City,(-74.006111111 40.712777777),2019,2023,Conservative Party
58,Owen Paterson,Whitchurch,(-2.6827 52.969),2019,2021,Conservative Party
58,Alistair Carmichael,Islay,(-6.15 55.766666666),2019,2024,Liberal Democrats
58,Theresa May,Eastbourne,(0.286111111 50.766388888),2019,2024,Conservative Party
58,Andrew Bridgen,Burton upon Trent,(-1.636666666 52.801944444),2023,2023,Conservative Party
58,Steve Brine,Portsmouth,(-1.087222222 50.805833333),2019,2024,Conservative Party
58,James Brokenshire,Southend-on-Sea,(0.71377 51.53789),2019,2021,Conservative Party
58,Craig Whittaker,Radcliffe,(-2.3268 53.5615),2019,2024,Conservative Party
58,Graham Brady,Salford,(-2.293055555 53.482777777),2019,2024,Conservative Party
58,John Whittingdale,Sherborne,(-2.5183 50.9491),2019,2024,Conservative Party
58,Kevin Brennan,Cwmbran,(-3.021 51.653),2019,2024,Labour Party
58,Lyn Brown,London,(-0.1275 51.507222222),2019,2024,Labour Party
58,Debbie Abrahams,Sheffield,(-1.470277777 53.380833333),2019,2024,Labour Party
58,Bill Wiggin,Westminster,(-0.1333 51.4995),2019,2024,Conservative Party
58,Fiona Bruce,Wick,(-3.09171 58.44317),2019,2024,Conservative Party
58,Chris Bryant,Cardiff,(-3.179166666 51.481666666),2019,2024,Conservative Party
58,Theresa Villiers,London,(-0.1275 51.507222222),2019,2024,Conservative Party
58,Martin Vickers,Cleethorpes,(-0.02155 53.5533),2019,2024,Conservative Party
58,Shailesh Vara,Uganda,(32.39 1.28),2019,2024,Conservative Party
58,Alun Cairns,Swansea,(-3.95 51.616666666),2019,2024,Conservative Party
58,Dominic Raab,Buckinghamshire,(-0.8 51.766666666),2019,2024,Conservative Party
58,Bill Cash,Finsbury,(-0.0925 51.5224),2019,2024,Conservative Party
58,Robert Buckland,Llanelli,(-4.15 51.683333333),2019,2024,Conservative Party
58,Conor Burns,Belfast,(-5.93 54.596388888),2019,2022,Conservative Party
58,Rehman Chishti,Muzaffarabad,(73.471111111 34.37),2019,2024,Conservative Party
58,Christopher Chope,Putney,(-0.2211 51.4649),2019,2024,Conservative Party
58,Greg Clark,Middlesbrough,(-1.233333333 54.573888888),2019,2024,Conservative Party
58,Liz Truss,Oxford,(-1.257777777 51.751944444),2019,2024,Conservative Party
58,Justin Tomlinson,Blackburn,(-2.4769 53.7449),2019,2024,Conservative Party
58,Edward Timpson,Knutsford,(-2.370833333 53.3025),2019,2024,Conservative Party
58,Diane Abbott,Paddington,(-0.173 51.5172),2019,2023,Labour Party
58,Ed Miliband,London,(-0.1275 51.507222222),2019,2024,Labour Party
58,Thérèse Coffey,Billinge,(-2.7129 53.4932),2019,2024,Conservative Party
58,Damian Collins,Northampton,(-0.9 52.233333333),2019,2024,Conservative Party
58,Geoffrey Cox,Wroughton,(-1.792 51.525),2019,2024,Conservative Party
58,Stephen Metcalfe,Walthamstow,(-0.0211 51.584),2019,2024,Conservative Party
58,Geoffrey Clifton-Brown,Cambridge,(0.1225 52.208055555),2019,2024,Conservative Party
58,Rosie Cooper,Liverpool,(-2.991666666 53.407222222),2019,2022,Labour Party
58,Yvette Cooper,Inverness,(-4.225833333 57.483888888),2019,2024,Labour Party
58,Jeremy Corbyn,Chippenham,(-2.1158 51.4585),2019,2020,Labour Party
58,David Mundell,Dumfries,(-3.616666666 55.066666666),2019,2024,Conservative Party
58,Jeremy Hunt,London,(-0.1275 51.507222222),2019,2024,Conservative Party
58,Chloe Smith,Ashford,(0.8676 51.1465),2019,2024,Conservative Party
58,Neil Parish,Bridgwater,(-2.993 51.128),2022,2022,Conservative Party
58,Margaret Beckett,Ashton-under-Lyne,(-2.1032 53.4941),2019,2024,Labour Party
58,Harriet Harman,London,(-0.1275 51.507222222),2019,2024,Labour Party
58,Rosie Winterton,Leicester,(-1.133055555 52.636111111),2019,2024,Labour Party
58,Hilary Benn,Hammersmith,(-0.2229 51.4928),2019,2024,Labour Party
58,Clive Betts,Sheffield,(-1.470277777 53.380833333),2019,2024,Labour Party
58,Paul Blomfield,Chatham,(0.523333333 51.381944444),2019,2024,Labour Party
58,Alan Whitehead,Isleworth,(-0.3363 51.4666),2019,2024,Labour Party
58,Ben Bradshaw,London,(-0.1275 51.507222222),2019,2024,Labour Party
58,Rushanara Ali,Bishwanath Upazila,(91.7639 24.8083),2019,2024,Labour Party
58,Jonathan Ashworth,Salford,(-2.334444444 53.509722222),2019,2024,Labour Party
58,Nick Brown,Hawkhurst,(0.5173 51.0471),2022,2024,Labour Party
58,Karen Buck,Castlederg,(-7.5934 54.7083),2019,2024,Labour Party
58,Valerie Vaz,Yemen,(48.0 15.5),2019,2024,Labour Party
