parliament,member,birthPlace,coordinates,start,end,party
37,John Sandeman Allen,Rock Ferry,(-3.008 53.373),1935,1945,Conservative Party
37,Arthur Greenwood,Leeds,(-1.543611111 53.7975),1935,1945,Labour Party
38,"Billy Blyton, Baron Blyton",South Shields,(-1.43 54.995),1945,1950,Labour Party
38,"Bob Mellish, Baron Mellish",Deptford,(-0.0265 51.478),1946,1950,Labour Party
38,Caroline Ganley,Plymouth,(-4.142222222 50.371388888),1945,1950,Labour Party
37,Charles Edwards,Gravel,(-3.195876 52.343135),1935,1945,Labour Party
38,"John Diamond, Baron Diamond",Leeds,(-1.543611111 53.7975),1945,1950,Labour Party
37,John Eric Loverseed,Downham,(0.0058 51.4257),1943,1945,Labour Party
37,John James Davidson,Inverness,(-4.225833333 57.483888888),1935,1945,Labour Party
38,John Kinley,Liverpool,(-2.991666666 53.407222222),1945,1950,Labour Party
37,John Parker,Bristol,(-2.5975 51.453611111),1935,1945,Labour Party
38,John Platts-Mills,New Zealand,(174.0 -41.2),1945,1950,Labour Party
38,Emrys Hughes,Tonypandy,(-3.451202777 51.622325),1946,1950,Labour Party
37,"James Stuart, 1st Viscount Stuart of Findhorn",Edinburgh,(-3.189166666 55.953333333),1935,1945,Unionist Party
38,John Timmons,North Lanarkshire,(-3.922 55.829),1945,1950,Labour Party
38,"Dick Mitchison, Baron Mitchison",Staines-upon-Thames,(-0.511 51.434),1945,1950,Labour Party
38,Gordon Lang,Monmouth,(-2.72 51.81),1945,1950,Labour Party
38,"Goronwy Roberts, Baron Goronwy-Roberts",Bethesda,(-4.0603 53.1794),1945,1950,Labour Party
38,Harry Pursey,Sidmouth,(-3.239 50.68),1945,1950,Labour Party
37,Harcourt Johnstone,Kensington,(-0.1909 51.5004),1940,1945,Liberal Party
37,"Lionel Berry, 2nd Viscount Kemsley",Hendon,(-0.2252 51.5837),1943,1945,Conservative Party
37,Lord William Montagu Douglas Scott,London,(-0.1275 51.507222222),1935,1945,Conservative Party
38,Christopher Mayhew,London,(-0.1275 51.507222222),1945,1950,Liberal Democrats
37,George Mitcheson,Heckmondwike,(-1.67 53.708),1935,1945,Conservative Party
37,"Maurice Roche, 4th Baron Fermoy",Chelsea,(-0.1684 51.4875),1943,1945,Conservative Party
38,Christopher York,England,(-1.0 53.0),1945,1950,Conservative Party
37,Cyril Lakin,Cadoxton,(-3.256944444 51.413611111),1942,1945,Conservative Party
38,Cyril Osborne,Bulwell,(-1.19723 53.0005),1945,1950,Conservative Party
37,"Sir Ronald Cross, 1st Baronet",Pendleton,(-2.371 53.851),1935,1945,Conservative Party
